field	baseline_enumeration	enumeration_description
in.county_and_puma	G2902290, G29002500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G2905100, G29001901	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G2905100, G29001902	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000010, G30000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000030, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000050, G30000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000070, G30000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000090, G30000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000110, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000130, G30000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000150, G30000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000170, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000190, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000210, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000230, G30000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000250, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000270, G30000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000290, G30000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000310, G30000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000330, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000350, G30000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000370, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000390, G30000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000410, G30000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000430, G30000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000450, G30000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000470, G30000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000490, G30000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000510, G30000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000530, G30000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000550, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000570, G30000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000590, G30000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000610, G30000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000630, G30000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000650, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000670, G30000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000690, G30000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000710, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000730, G30000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000750, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000770, G30000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000790, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000810, G30000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000830, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000850, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000870, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000890, G30000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000910, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000930, G30000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000950, G30000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000970, G30000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3000990, G30000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3001010, G30000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3001030, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3001050, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3001070, G30000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3001090, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3001110, G30000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3001110, G30000700	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100010, G31000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100030, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100050, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100070, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100090, G31000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100110, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100130, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100150, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100170, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100190, G31000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100210, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100230, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100250, G31000701	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100270, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100290, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100310, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100330, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100350, G31000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100370, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100390, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100410, G31000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100430, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100450, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100470, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100490, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100510, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100530, G31000701	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100550, G31000901	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100550, G31000902	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100550, G31000903	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100550, G31000904	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100570, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100590, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100610, G31000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100630, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100650, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100670, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100690, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100710, G31000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100730, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100750, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100770, G31000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100790, G31000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100810, G31000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100830, G31000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100850, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100870, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100890, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100910, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100930, G31000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100950, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100970, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3100990, G31000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101010, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101030, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101050, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101070, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101090, G31000801	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101090, G31000802	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101110, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101130, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101150, G31000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101170, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101190, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101210, G31000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101230, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101250, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101270, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101290, G31000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101310, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101330, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101350, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101370, G31000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101390, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101410, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101430, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101450, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101470, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101490, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101510, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101530, G31000702	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101550, G31000701	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101570, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101590, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101610, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101630, G31000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101650, G31000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101670, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101690, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101710, G31000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101730, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101750, G31000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101770, G31000701	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101790, G31000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101810, G31000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101830, G31000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3101850, G31000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200010, G32000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200030, G32000401	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200030, G32000402	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200030, G32000403	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200030, G32000404	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200030, G32000405	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200030, G32000406	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200030, G32000407	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200030, G32000408	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200030, G32000409	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200030, G32000410	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200030, G32000411	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200030, G32000412	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200030, G32000413	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200050, G32000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200070, G32000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200090, G32000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200110, G32000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200130, G32000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200150, G32000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200170, G32000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200190, G32000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200210, G32000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200230, G32000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200270, G32000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200290, G32000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200310, G32000101	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200310, G32000102	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200310, G32000103	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3200330, G32000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3205100, G32000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300010, G33000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300030, G33000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300030, G33000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300050, G33000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300070, G33000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300090, G33000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300110, G33000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300110, G33000700	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300110, G33000800	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300110, G33000900	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300130, G33000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300130, G33000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300130, G33000700	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300150, G33000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300150, G33000700	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300150, G33001000	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300170, G33000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3300190, G33000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400010, G34000101	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400010, G34000102	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400010, G34002600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400030, G34000301	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400030, G34000302	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400030, G34000303	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400030, G34000304	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400030, G34000305	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400030, G34000306	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400030, G34000307	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400030, G34000308	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400050, G34002001	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400050, G34002002	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400050, G34002003	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400070, G34002101	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400070, G34002102	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400070, G34002103	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400070, G34002104	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400090, G34002600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400110, G34002400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400110, G34002500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400130, G34001301	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400130, G34001302	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400130, G34001401	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400130, G34001402	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400130, G34001403	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400130, G34001404	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400150, G34002201	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400150, G34002202	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400170, G34000601	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400170, G34000602	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400170, G34000701	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400170, G34000702	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400170, G34000703	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400190, G34000800	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400210, G34002301	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400210, G34002302	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400210, G34002303	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400230, G34000901	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400230, G34000902	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400230, G34000903	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400230, G34000904	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400230, G34000905	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400230, G34000906	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400230, G34000907	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400250, G34001101	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400250, G34001102	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400250, G34001103	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400250, G34001104	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400250, G34001105	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400250, G34001106	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400270, G34001501	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400270, G34001502	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400270, G34001503	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400270, G34001504	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400290, G34001201	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400290, G34001202	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400290, G34001203	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400290, G34001204	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400290, G34001205	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400310, G34000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400310, G34000501	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400310, G34000502	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400310, G34000503	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400330, G34002500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400350, G34001001	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400350, G34001002	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400350, G34001003	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400370, G34001600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400390, G34001800	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400390, G34001901	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400390, G34001902	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400390, G34001903	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400390, G34001904	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3400410, G34001700	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500010, G35000700	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500010, G35000801	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500010, G35000802	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500010, G35000803	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500010, G35000804	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500010, G35000805	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500010, G35000806	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500030, G35000900	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500050, G35001100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500060, G35000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500070, G35000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500090, G35000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500110, G35000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500130, G35001001	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500130, G35001002	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500150, G35001200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500170, G35000900	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500190, G35000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500210, G35000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500230, G35000900	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500250, G35001200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500270, G35001100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500280, G35000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500290, G35000900	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500310, G35000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500330, G35000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500350, G35001100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500370, G35000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500390, G35000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500410, G35000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500430, G35000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500450, G35000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500450, G35000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500470, G35000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500490, G35000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500510, G35000900	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500530, G35000900	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500550, G35000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500570, G35000900	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500590, G35000400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3500610, G35000700	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600010, G36002001	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600010, G36002002	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600030, G36002500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600050, G36003701	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600050, G36003702	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600050, G36003703	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600050, G36003704	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600050, G36003705	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600050, G36003706	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600050, G36003707	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600050, G36003708	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600050, G36003709	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600050, G36003710	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600070, G36002201	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600070, G36002202	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600070, G36002203	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600090, G36002500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600110, G36000704	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600130, G36002600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600150, G36002401	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600150, G36002402	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600170, G36002203	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600190, G36000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600210, G36002100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600230, G36001500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600250, G36002203	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600270, G36002801	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600270, G36002802	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600290, G36001201	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600290, G36001202	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600290, G36001203	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600290, G36001204	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600290, G36001205	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600290, G36001206	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600290, G36001207	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600310, G36000200	GISJOIN identifier for each county + PUMA combination
